FID,OBJECTID,PARCELID,NUM_UNITS,GRPPCLID_1,EXLUCODE,CLASS,BOOK,PAGE,PARCEL,MLTOWN,PROPTYID,MKTLND,MKTIMP,NUMPCL,PNTPCLID,MKT_TOTAL_,TAXDST,OWNER6,OWNNM1,OWNNM2,OWNAD1,OWNAD2,LGLDS1,LGLDS2,LGLDS3,PREVOWN1,PREVOWN2,SPLFLG,NEWFLG,MKTCAU,NHBDNO,ADDRNO,ADDRST,ADDRSF,BANKCD,MLNM1,MLNM2,MLADR1,MLADR2,CNTDUE,DLNQDT,CNTSTG,CNTTRM,CNTFLG,RECST,SALDAT,SALTYP,SALAMT,SALSRC,VALID,SALCNV,DEEDNO,INSTTY,ACREDEED,UNIT,LOC_ST_IND,LOC_ST_DIR,LOC_SEC_NO,SCHOOL_COD,BOR_FLAG,HMSD_FLAG,PARSTAT,RED_25_FLA,DIV_FLAG,FORECL_FLA,ANNUAL_TAX,FRONT_FOOT,TAXES_PAID,PAR_DELETE,DELQ_TAXES,LGLDS4,CONVEY_NO,OWNER48,AUDPCLID,AUDPTYID,OWNAD1A,MLADR1A,ADDRECID,HNUM,CAGDIR,CAGSTRNAME,CAGSFX,ADDRTYPE,STRNAMID,JURISABBRV,JURISDICT,STRSEGID,JOINED,AREA,ACRES,PERIMETER,Shape_Length,Shape_Area
0,65893,007400010001,0,007400010001,?,495,074,0001,0001,0,00740001000100,96970.000000000000000,189883780.000000000000000,22,,0.000000000000000,1,ROCK  ,ROCK OHIO CAESARS,CINCINNATI LLC,1086 WOODWARD AVE,DETROIT MI 48226,READING RD & BROADWAY11.6,1 X 95 IRR   TIF ABATEMEN,T,ROCK GAMING CINCINNATI LL,PARTNERSHIP,Y,Y,0.000000000000000,0,405,READING,RD,0,ROCK OHIO CAESARS,ROCK OHIO CAESARS,1086 WOODWARD AVE,DETROIT MI 48226,0,0,,,,,40777,,0.000000000000000,2,,0,0,AF,0.074000000000000,,,,,0,Y,N,,,N,,0.000000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,,0,ROCK OHIO CAESARS CINCINNATI LLC                ,07400010001,0740001000100,,, , , , , , , , , , ,0,0.000000000000000,0.000000000000000,0.000000000000000,259.785920251824110,0.000000000000000
1,377997,007400010002,0,007400010002,VA,400,074,0001,0002,0,00740001000200,108230.000000000000000,0.000000000000000,22,,0.000000000000000,1,ROCK  ,ROCK OHIO CAESARS,CINCINNATI LLC,1086 WOODWARD AVE,DETROIT MI 48226,READING RD    36 X 80    ,              SWC SPRING ,& READING RD  TIF ABATEME,ROCK GAMING CINCINNATI LL,PARTNERSHIP,Y,N,0.000000000000000,0,415,READING,RD,0,ROCK OHIO CAESARS,ROCK OHIO CAESARS,1086 WOODWARD AVE,DETROIT MI 48226,0,0,,,,,40777,,0.000000000000000,2,,0,0,AF,0.064000000000000,,,,,0,Y,N,,,N,,0.000000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,NT,0,ROCK OHIO CAESARS CINCINNATI LLC                ,07400010002,0740001000200,,, , , , , , , , , , ,0,0.000000000000000,0.000000000000000,0.000000000000000,257.809890444902920,0.000000000000000
2,10972,007400010003,0,007400010003,VA,400,074,0001,0003,0,00740001000300,150140.000000000000000,0.000000000000000,22,,0.000000000000000,1,ROCK  ,ROCK OHIO CAESARS,CINCINNATI LLC,1086 WOODWARD AVE,DETROIT MI 48226,SPRING ST         50 X 80,                  36 FT S, OF READING RD    TIF ABA,ROCK GAMING CINCINNATI LL,PARTNERSHIP,N,N,0.000000000000000,0,1031,SPRING,ST,0,ROCK OHIO CAESARS,ROCK OHIO CAESARS,1086 WOODWARD AVE,DETROIT MI 48226,0,0,,,,,40777,,0.000000000000000,2,,0,0,AF,0.088000000000000,,,,,0,Y,N,,,N,,0.000000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,TEMENT,0,ROCK OHIO CAESARS CINCINNATI LLC                ,07400010003,0740001000300,,, , , , , , , , , , ,0,0.000000000000000,0.000000000000000,0.000000000000000,283.382776648314920,0.000000000000000
3,112858,007400010004,0,007400010004,VA,400,074,0001,0004,0,00740001000400,437770.000000000000000,0.000000000000000,22,,0.000000000000000,1,ROCK  ,ROCK OHIO CAESARS,CINCINNATI LLC,1086 WOODWARD AVE,DETROIT MI 48226,BROADWAY                 ,105 X 175.22 IRR         ,PARS 4-5 CONS    TIF ABAT,ROCK GAMING CINCINNATI LL,PARTNERSHIP,Y,N,0.000000000000000,0,405,READING,RD,0,ROCK OHIO CAESARS,ROCK OHIO CAESARS,1086 WOODWARD AVE,DETROIT MI 48226,0,0,,,,,40777,,0.000000000000000,2,,0,0,AF,0.289000000000000,,,,,0,Y,N,,,N,,0.000000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,EMENT,0,ROCK OHIO CAESARS CINCINNATI LLC                ,07400010004,0740001000400,,, , , , , , , , , , ,0,0.000000000000000,0.000000000000000,0.000000000000000,302.180455960968970,0.000000000000000
4,260382,007400010007,0,007400010006,VA,400,074,0001,0007,0,00740001000700,0.000000000000000,0.000000000000000,0,007400010006,0.000000000000000,1,ROCK  ,ROCK OHIO CAESARS,CINCINNATI LLC,1086 WOODWARD AVE,DETROIT MI 48226,,,,BROADWAY PARTNER LIMITED,PTNSHP,,,0.000000000000000,0,,,,0,ROCK OHIO CAESARS,ROCK OHIO CAESARS,1086 WOODWARD AVE,DETROIT MI 48226,0,0,,,,,0,,0.000000000000000,,,0,0,,0.000000000000000,,,,,0,,,,,,,0.000000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,,0,ROCK OHIO CAESARS CINCINNATI LLC                ,07400010007,0740001000700,,, , , , , , , , , , ,0,0.000000000000000,0.000000000000000,0.000000000000000,418.639014315051210,0.000000000000000
5,160981,007400010008,0,007400010008,VA,400,074,0001,0008,0,00740001000800,1198530.000000000000000,0.000000000000000,22,,0.000000000000000,1,ROCK  ,ROCK OHIO CAESARS,CINCINNATI LLC,1086 WOODWARD AVE,DETROIT MI 48226,BROADWAY 180.52 X 176.13 ,ES BROADWAY 56.50 FT N OF,OF COURT ST PRS 8 TH 13  ,ROCK GAMING CINCINNATI LL,PARTNERSHIP,Y,N,0.000000000000000,0,1006,BROADWAY,,0,ROCK OHIO CAESARS,ROCK OHIO CAESARS,1086 WOODWARD AVE,DETROIT MI 48226,0,0,,,,,40777,,0.000000000000000,2,,0,0,AF,0.753000000000000,,,,,0,Y,N,,,N,,0.000000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,CONS  TIF ABATEMENT,0,ROCK OHIO CAESARS CINCINNATI LLC                ,07400010008,0740001000800,,, , , , , , , , , , ,0,0.000000000000000,0.000000000000000,0.000000000000000,433.779752063080250,0.000000000000000
6,260386,007400010015,0,007400010014,VA,400,074,0001,0015,0,00740001001500,0.000000000000000,0.000000000000000,0,007400010014,0.000000000000000,1,ROCK  ,ROCK OHIO CAESARS,CINCINNATI LLC,1086 WOODWARD AVE,DETROIT MI 48226,,,,BROADWAY PARTNERS LIMITED,PTNSHP,,,0.000000000000000,0,,,,0,ROCK OHIO CAESARS,ROCK OHIO CAESARS,1086 WOODWARD AVE,DETROIT MI 48226,0,0,,,,,0,,0.000000000000000,,,0,0,,0.000000000000000,,,,,0,,,,,,,0.000000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,,0,ROCK OHIO CAESARS CINCINNATI LLC                ,07400010015,0740001001500,,, , , , , , , , , , ,0,0.000000000000000,0.000000000000000,0.000000000000000,483.555843101560870,0.000000000000000
7,10973,007400010022,0,007400010016,VA,400,074,0001,0022,0,00740001002200,0.000000000000000,0.000000000000000,0,007400010016,0.000000000000000,1,ROCK  ,ROCK OHIO CAESARS,CINCINNATI LLC,1086 WOODWARD AVE,DETROIT MI 48226,,,,BROADWAY PARTNER LIMITED,PTNSHP,,,0.000000000000000,0,,,,0,ROCK OHIO CAESARS,ROCK OHIO CAESARS,1086 WOODWARD AVE,DETROIT MI 48226,0,0,,,,,0,,0.000000000000000,,,0,0,,0.000000000000000,,,,,0,,,,,,,0.000000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,,0,ROCK OHIO CAESARS CINCINNATI LLC                ,07400010022,0740001002200,,, , , , , , , , , , ,0,0.000000000000000,0.000000000000000,0.000000000000000,305.406144235056050,0.000000000000000
8,318087,007400010031,0,007400010031,VA,400,074,0001,0031,0,00740001003100,1492080.000000000000000,0.000000000000000,22,,0.000000000000000,1,ROCK  ,ROCK OHIO CAESARS,CINCINNATI LLC,1086 WOODWARD AVE,DETROIT MI 48226,430 E COURT 206.33 X     ,191.56 IR NS COURT ST 198,FT E OF BROADWAY  TIF ABA,ROCK GAMING CINCINNATI LL,PARTNERSHIP,Y,N,0.000000000000000,0,1000,BROADWAY,,0,ROCK OHIO CAESARS,ROCK OHIO CAESARS,1086 WOODWARD AVE,DETROIT MI 48226,0,0,,,,,40777,,0.000000000000000,2,,0,0,AF,0.914000000000000,,,,,0,Y,N,,,N,,0.000000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,TEMENT,0,ROCK OHIO CAESARS CINCINNATI LLC                ,07400010031,0740001003100,,, , , , , , , , , , ,0,0.000000000000000,0.000000000000000,0.000000000000000,814.764738641182700,0.000000000000000
9,260387,007400010039,0,007400010039,VA,400,074,0001,0039,0,00740001003900,198770.000000000000000,0.000000000000000,22,,0.000000000000000,1,ROCK  ,ROCK OHIO CAESARS,CINCINNATI LLC,1086 WOODWARD AVE,DETROIT MI 48226,REAR BROADWAY 23.39 X    ,184.06 IRR-ES PRIVATE    ,ALLEY 138 FT N OF COURT  ,ROCK GAMING CINCINNATI LL,PARTNERSHIP,N,N,0.000000000000000,0,1008,BROADWAY,,0,ROCK OHIO CAESARS,ROCK OHIO CAESARS,1086 WOODWARD AVE,DETROIT MI 48226,0,0,,,,,40777,,0.000000000000000,2,,0,0,AF,0.164000000000000,,,,,0,Y,N,,,N,,0.000000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,TIF ABATEMENT,0,ROCK OHIO CAESARS CINCINNATI LLC                ,07400010039,0740001003900,,, , , , , , , , , , ,0,0.000000000000000,0.000000000000000,0.000000000000000,523.476943734150950,0.000000000000000
